cellosaurus:CVCL_GZ86	K562 eGFP-GABPA	1	93	
cellosaurus:CVCL_AW22	K562 eGFP-GATA2	1	94	
cellosaurus:CVCL_GZ87	K562 eGFP-GTF2A2	1	95	
cellosaurus:CVCL_GZ88	K562 eGFP-GTF2E2	1	96	
cellosaurus:CVCL_AW23	K562 eGFP-HDAC8	1	97	
cellosaurus:CVCL_AW24	K562 eGFP-HINFP	1	98	
cellosaurus:CVCL_AW25	K562 eGFP-HMGB1	1	99	
cellosaurus:CVCL_AW26	K562 eGFP-ID3	1	100	
cellosaurus:CVCL_AW27	K562 eGFP-ILK	1	101	
cellosaurus:CVCL_AW28	K562 eGFP-IRF1	1	102	
cellosaurus:CVCL_AW29	K562 eGFP-IRF9	1	103	
cellosaurus:CVCL_AW30	K562 eGFP-JUNB	1	104	
cellosaurus:CVCL_AW31	K562 eGFP-JUND	1	105	
cellosaurus:CVCL_AW32	K562 eGFP-KLF1	1	106	
cellosaurus:CVCL_AW33	K562 eGFP-KLF13	1	107	
cellosaurus:CVCL_AW34	K562 eGFP-MAFG	1	108	
cellosaurus:CVCL_GZ89	K562 eGFP-MEF2D	1	109	
cellosaurus:CVCL_GZ90	K562 eGFP-NFE2	1	110	
cellosaurus:CVCL_AW35	K562 eGFP-NFE2L1	1	111	
cellosaurus:CVCL_AW36	K562 eGFP-NR2C1	1	112	
cellosaurus:CVCL_GZ91	K562 eGFP-NR2C2	1	113	
cellosaurus:CVCL_AW37	K562 eGFP-NR4A1	1	114	
cellosaurus:CVCL_GZ92	K562 eGFP-PBX2	1	115	
cellosaurus:CVCL_GZ93	K562 eGFP-POLR2H	1	116	
cellosaurus:CVCL_AW38	K562 eGFP-PTRF	1	117	
cellosaurus:CVCL_AW39	K562 eGFP-PTTG1	1	118	
cellosaurus:CVCL_AW40	K562 eGFP-PYGO2	1	119	
cellosaurus:CVCL_AW41	K562 eGFP-RELA	1	120	
cellosaurus:CVCL_AW42	K562 eGFP-SMARCA1	1	121	
cellosaurus:CVCL_AW43	K562 eGFP-SMARCA2	1	122	
cellosaurus:CVCL_AW44	K562 eGFP-TAF7	1	123	
cellosaurus:CVCL_AW45	K562 eGFP-TEAD2	1	124	
cellosaurus:CVCL_GZ94	K562 eGFP-TFDP1	1	125	
cellosaurus:CVCL_AW46	K562 eGFP-TSC22D4	1	126	
cellosaurus:CVCL_GZ95	K562 eGFP-USF2	1	127	
cellosaurus:CVCL_GZ96	K562 eGFP-ZBTB11	1	128	
cellosaurus:CVCL_GZ97	K562 eGFP-ZFX	1	129	
cellosaurus:CVCL_GZ98	K562 eGFP-ZKSCAN8	1	130	
cellosaurus:CVCL_GZ99	K562 eGFP-ZNF148	1	131	
cellosaurus:CVCL_HA00	K562 eGFP-ZNF175	1	132	
cellosaurus:CVCL_HA01	K562 eGFP-ZNF197	1	133	
cellosaurus:CVCL_AW47	K562 eGFP-ZNF24	1	134	
cellosaurus:CVCL_XW96	K562 eGFP-ZNF354B	1	135	
cellosaurus:CVCL_HA02	K562 eGFP-ZNF395	1	136	
cellosaurus:CVCL_XW97	K562 eGFP-ZNF507	1	137	
cellosaurus:CVCL_HA03	K562 eGFP-ZNF512	1	138	
cellosaurus:CVCL_HA04	K562 eGFP-ZNF584	1	139	
cellosaurus:CVCL_HA05	K562 eGFP-ZNF589	1	140	
cellosaurus:CVCL_HA06	K562 eGFP-ZNF639	1	141	
cellosaurus:CVCL_HA07	K562 eGFP-ZNF644	1	142	
cellosaurus:CVCL_HA08	K562 eGFP-ZNF740	1	143	
cellosaurus:CVCL_HA09	K562 eGFP-ZNF766	1	144	
cellosaurus:CVCL_HA10	K562 eGFP-ZNF83	1	145	
cellosaurus:CVCL_AW48	K562 eGFP-ZSCAN9	1	146	
cellosaurus:CVCL_IM25	K562 HHT	1	147	
cellosaurus:CVCL_ZL53	K562 NGLY1 KO c15	1	148	
cellosaurus:CVCL_ZL54	K562 NGLY1 KO c20	1	149	
cellosaurus:CVCL_9120	K562(A)	1	150	
cellosaurus:CVCL_9119	K562(S)	1	151	
cellosaurus:CVCL_Z732	K562-ARA-C	1	152	
cellosaurus:CVCL_JX91	K562-AVB3	1	153	
cellosaurus:CVCL_4V54	K562-BMS-R	1	154	
cellosaurus:CVCL_Z733	K562-CdA	1	155	
cellosaurus:CVCL_4V59	K562-DAS[r]	1	156	
cellosaurus:CVCL_Z734	K562-FLUD	1	157	
cellosaurus:CVCL_Z735	K562-GEM	1	158	
cellosaurus:CVCL_9121	K562-H	1	159	
cellosaurus:CVCL_4V60	K562-IMA[r]	1	160	
cellosaurus:CVCL_4V61	K562-IMA[r]+DAS[r]	1	161	
cellosaurus:CVCL_4V62	K562-IMA[r]+PON[r]	1	162	
cellosaurus:CVCL_D201	K562-IMR	1	163	
cellosaurus:CVCL_9122	K562-L	1	164	
cellosaurus:CVCL_J257	K562-Luc	1	165	
cellosaurus:CVCL_5J21	K562-luc2	1	166	
cellosaurus:CVCL_D162	K562-Lucena 1	1	167	
cellosaurus:CVCL_4V63	K562-NIL[r]	1	168	
cellosaurus:CVCL_4V64	K562-PON[r]	1	169	
cellosaurus:CVCL_UC14	K562-r	1	170	
cellosaurus:CVCL_5J01	K562-Red-FLuc	1	171	
cellosaurus:CVCL_DP55	K562-rn	1	172	
cellosaurus:CVCL_UC15	K562-s	1	173	
cellosaurus:CVCL_XE50	K562-Wnt5a	1	174	
cellosaurus:CVCL_0368	K562/A02	1	175	
cellosaurus:CVCL_Y198	K562/AC	1	176	
cellosaurus:CVCL_3827	K562/Adr	1	177	
cellosaurus:CVCL_4V20	K562/ara-C	1	178	
cellosaurus:CVCL_4V84	K562/AS-3	1	179	
cellosaurus:CVCL_4V85	K562/AS2	1	180	
cellosaurus:CVCL_AZ73	K562/CP	1	181	
cellosaurus:CVCL_D205	K562/D1-9	1	182	
cellosaurus:CVCL_WI19	K562/DAC	1	183	
cellosaurus:CVCL_4T87	K562/DNR	1	184	
cellosaurus:CVCL_Y168	K562/etop20	1	185	
cellosaurus:CVCL_Y169	K562/etop80	1	186	
cellosaurus:CVCL_4V47	K562/G01	1	187	
cellosaurus:CVCL_5144	K562/MTX-2	1	188	
cellosaurus:CVCL_KS44	K562/NFAT-luc	1	189	
cellosaurus:CVCL_4V51	K562/NIL-50	1	190	
cellosaurus:CVCL_D573	K562/R7	1	191	
cellosaurus:CVCL_5145	K562/Vin	1	192	
cellosaurus:CVCL_S663	K562/ZD1694.C	1	193	
cellosaurus:CVCL_0369	K562YO	1	194	
cellosaurus:CVCL_9V30	KDI/20	1	195	
cellosaurus:CVCL_3000	KO51	1	196	
cellosaurus:CVCL_IQ44	NM-D4	1	197	
cellosaurus:CVCL_IQ45	NM-F9	1	198	
cellosaurus:CVCL_L434	P2UR/K-562	1	199	
cellosaurus:CVCL_1Q81	PC-MDS	1	200	
cellosaurus:CVCL_8463	RM10	1	201	
cellosaurus:CVCL_8423	RS-1 [Human leukemia]	1	202	
cellosaurus:CVCL_8440	SAM-1	1	203	
cellosaurus:CVCL_2200	SPI-801	1	204	
cellosaurus:CVCL_2201	SPI-802	1	205	
cellosaurus:CVCL_8427	T-33	1	206	
cellosaurus:CVCL_L806	TI-1 [Human leukemia]	1	207	
cellosaurus:CVCL_0005	NB4	0	208	
cellosaurus:CVCL_VV77	NB4-A1	1	209	
cellosaurus:CVCL_U080	NB4-AsR	1	210	
cellosaurus:CVCL_VV78	NB4-B1	1	211	
cellosaurus:CVCL_VV79	NB4-D5	1	212	
cellosaurus:CVCL_U085	NB4-DR1	1	213	
cellosaurus:CVCL_8811	NB4-LR1	1	214	
cellosaurus:CVCL_U086	NB4-S1	1	215	
cellosaurus:CVCL_U083	NB4.007/6	1	216	
cellosaurus:CVCL_U084	NB4.306	1	217	
cellosaurus:CVCL_U112	NB4.437r	1	218	
cellosaurus:CVCL_U082	NB4/As	1	219	
cellosaurus:CVCL_IY15	NB4R	1	220	
cellosaurus:CVCL_0006	THP-1	0	221	
cellosaurus:CVCL_5115	A-THP-1	1	222	
cellosaurus:CVCL_X687	BF24	1	223	
cellosaurus:CVCL_KB46	CellSensor NFkB-bla THP-1	1	224	
cellosaurus:CVCL_KS29	CellSensor SIE-bla THP-1	1	225	
cellosaurus:CVCL_KS30	CellSensor TNFalpha-bla THP-1	1	226	
cellosaurus:CVCL_KZ70	PathHunter THP-1 IkappaB Degradation	1	227	
cellosaurus:CVCL_IR08	PSC-THP1	1	228	
cellosaurus:CVCL_XZ65	THP-1 NF-kb luciferase reporter	1	229	
cellosaurus:CVCL_DF52	THP-1 NucLight Red	1	230	
cellosaurus:CVCL_XI47	THP-1 TLR9 mCherry	1	231	
cellosaurus:CVCL_0R25	THP-1(NCI)	1	232	
cellosaurus:CVCL_WI26	THP-1/AR	1	233	
cellosaurus:CVCL_4V22	THP-1/ara-C	1	234	
cellosaurus:CVCL_0R21	THP-1/DC-SIGN	1	235	
cellosaurus:CVCL_XD94	THP-1/IL15	1	236	
cellosaurus:CVCL_XD95	THP-1/IL21	1	237	
cellosaurus:CVCL_3426	THP-1h	1	238	
cellosaurus:CVCL_3427	THP-1l	1	239	
cellosaurus:CVCL_X588	THP1-Blue ISG	1	240	
cellosaurus:CVCL_X589	THP1-Blue ISG-KD-STING	1	241	
cellosaurus:CVCL_X585	THP1-Blue NF-kappaB	1	242	
cellosaurus:CVCL_X598	THP1-defASC	1	243	
cellosaurus:CVCL_5I76	THP1-defCASP1	1	244	
cellosaurus:CVCL_X600	THP1-defNLRP3	1	245	
cellosaurus:CVCL_X599	THP1-Dual	1	246	
cellosaurus:CVCL_X587	THP1-Lucia ISG	1	247	
cellosaurus:CVCL_X590	THP1-Lucia NF-kappaB	1	248	
cellosaurus:CVCL_5I77	THP1-NLRC4	1	249	
cellosaurus:CVCL_X601	THP1-Null	1	250	
cellosaurus:CVCL_X582	THP1-Xblue	1	251	
cellosaurus:CVCL_0007	U-937	0	252	
cellosaurus:CVCL_3680	EL 1	1	253	
cellosaurus:CVCL_2082	JOSK-I	1	254	
cellosaurus:CVCL_8141	JOSK-K	1	255	
cellosaurus:CVCL_2083	JOSK-M	1	256	
cellosaurus:CVCL_8142	JOSK-S	1	257	
cellosaurus:CVCL_8442	MOBS-1	1	258	
cellosaurus:CVCL_L107	PH [Human]	1	259	
cellosaurus:CVCL_9997	SAML-1	1	260	
cellosaurus:CVCL_6444	SC	1	261	
cellosaurus:CVCL_1775	TUR	1	262	
cellosaurus:CVCL_2810	U-937 cl1-14	1	263	
cellosaurus:CVCL_2811	U-937 cl1-22	1	264	
cellosaurus:CVCL_8765	U-937 DE-4	1	265	
cellosaurus:CVCL_U631	U-937 GTB	1	266	
cellosaurus:CVCL_WV56	U-937 RERC	1	267	
cellosaurus:CVCL_X000	U-937-AG	1	268	
cellosaurus:CVCL_WV55	U-937/CR	1	269	
cellosaurus:CVCL_VG84	U-M	1	270	
cellosaurus:CVCL_M769	U1/HIV-1	1	271	
cellosaurus:CVCL_M770	U38	1	272	
cellosaurus:CVCL_8927	U937(CD59+)	1	273	
cellosaurus:CVCL_8932	U937(CD59-)	1	274	
cellosaurus:CVCL_2Z95	U937-DC-SIGN	1	275	
cellosaurus:CVCL_4V23	U937/ara-C	1	276	
cellosaurus:CVCL_Y170	U937/clone21	1	277	
cellosaurus:CVCL_Y171	U937/clone36	1	278	
cellosaurus:CVCL_Y172	U937/clone41	1	279	
cellosaurus:CVCL_Y173	U937/clone49	1	280	
cellosaurus:CVCL_X608	U937/HIV-2MS	1	281	
cellosaurus:CVCL_Y174	U937/UK110	1	282	
cellosaurus:CVCL_Y175	U937/UK711	1	283	
cellosaurus:CVCL_8466	YAA	1	284	
cellosaurus:CVCL_8467	YAP	1	285	
cellosaurus:CVCL_0008	Daudi	0	286	
cellosaurus:CVCL_6220	Daudi-TG	1	287	
cellosaurus:CVCL_UF09	DIF10	1	288	
cellosaurus:CVCL_UF10	DIF2	1	289	
cellosaurus:CVCL_UF11	DIF3	1	290	
cellosaurus:CVCL_UF14	DIF8	1	291	
cellosaurus:CVCL_UF15	DIF9	1	292	
cellosaurus:CVCL_ZI16	DUT	1	293	
cellosaurus:CVCL_5I55	RST2	1	294	
cellosaurus:CVCL_0009	HDLM-2	0	295	
cellosaurus:CVCL_M696	HDLM-2d	1	296	
cellosaurus:CVCL_0010	Karpas-707	0	297	
cellosaurus:CVCL_9552	Karpas-707H	1	298	
cellosaurus:CVCL_0013	MOLT-4	0	299	
cellosaurus:CVCL_M771	M311	1	300	
cellosaurus:CVCL_F827	MOLT-4 clone 8	1	301	
cellosaurus:CVCL_5J16	MOLT-4-luc2	1	302	
cellosaurus:CVCL_4Y72	MOLT-4/ADR	1	303	
cellosaurus:CVCL_2792	MOLT-4F	1	304	
cellosaurus:CVCL_F830	MOLT-4V	1	305	
cellosaurus:CVCL_A1BB	MOLT4/P	1	306	
cellosaurus:CVCL_2657	NH17	1	307	
cellosaurus:CVCL_0014	RPMI-8226	0	308	
cellosaurus:CVCL_1862	COLO 677	1	309	
cellosaurus:CVCL_1996	COLO 775	1	310	
cellosaurus:CVCL_3732	KR-12	1	311	
cellosaurus:CVCL_XK17	RPMI-8226-R	1	312	
cellosaurus:CVCL_J431	RPMI-8226/Dox40	1	313	
cellosaurus:CVCL_J432	RPMI-8226/Dox6	1	314	
