geo:GPL7322	Homo sapiens 43.1K Print_849	3	85
geo:GPL6322	Homo sapiens 43K Print_769	3	86
geo:GPL6181	Human 3K BAC/PAC array (Ensembl Ver39)	3	87
geo:GPL5015	Human BAC array 2-4Mb NoGap	3	88
geo:GPL28	HumArray 1.14	3	89
geo:GPL3898	Institute of Cancer Research 5808-spot slide_version3	3	90
geo:GPL9715	IntegraChip genome-wide BAC arrays	3	91
geo:GPL5841	klingenkhh_BAC_3.7k_condensed_array	3	92
geo:GPL5840	klingenkhh_BAC_32K_Full	3	93
geo:GPL11237	Konyang-homo sapiens-Macarrray4.5k-v1.0	3	94
geo:GPL3091	KUL Human 4k BAC array Aneuploidy Screening	3	95
geo:GPL3455	KUL Human 4K_2 BAC array Aneuploidy Screening	3	96
geo:GPL16895	LinkGenomics Whole Genome DNA Microarray	3	97
geo:GPL8690	MacArary Karyo 4000	3	98
geo:GPL10538	Macrogen Human BAC clone 4K array	3	99
geo:GPL6853	Mermaid_Human_32K_CGH_v1.0	3	100
geo:GPL7199	MHP Human 1Mb CGH array	3	101
geo:GPL9336	MHP Human 1Mb_Chr18 CGH array	3	102
geo:GPL6782	MHP Human 1Mb-resolution CGH array	3	103
geo:GPL5055	MHP Human Chromosome 1 tile path CGH array version 1	3	104
geo:GPL5056	MHP Human Chromosome 1 tile path CGH array version 2	3	105
geo:GPL6783	MHP Human Chromosome 7 tiling-path CGH array	3	106
geo:GPL5114	MPIMG Homo sapiens 36k_arrayCGH8	3	107
geo:GPL3749	MPIMG Homo sapiens 44K aCGH2_MPIMG_BERLIN	3	108
geo:GPL3960	MPIMG Homo sapiens 44K aCGH3_MPIMG_BERLIN	3	109
geo:GPL5000	MPIMG Homo sapiens 44K ArrayCGH4	3	110
geo:GPL6520	National Cancer Center of Singapore Human 32k BAC array(A) version 1	3	111
geo:GPL6521	National Cancer Center of Singapore Human 32k BAC array(B) version 1	3	112
geo:GPL4560	Netherlands Cancer Institute human 3.5k BAC array	3	113
geo:GPL4894	Penn/CHOP Homo sapiens 4.5K (BAC array for studying Neuroblastoma)	3	114
geo:GPL4939	Sanger Homo sapiens 4K CGH (CGH_SANGER_4K_1)	3	115
geo:GPL3778	SMRT_arrays_human_BAC	3	116
geo:GPL5772	SNU_Breast_CGH_v1.0	3	117
geo:GPL5679	Spectral Chip 2600 BAC array	3	118
geo:GPL2030	Spectral Genomics 2600	3	119
geo:GPL5749	Spectral Genomics 2600 Human BAC array v. 1	3	120
geo:GPL5750	Spectral Genomics 2600 Human BAC array v. 2	3	121
geo:GPL3780	Spectral_Genomics_Human_BAC_array	3	122
geo:GPL4482	spotted DNA/cDNA	3	123
geo:GPL4723	SWEGENE_BAC_32K_Full	3	124
geo:GPL7247	SWEGENE_BAC_33K_Full	3	125
geo:GPL9077	SWEGENE_BAC_38K	3	126
geo:GPL6088	UAB 32K v1	3	127
geo:GPL4998	UCSF Cancer Center HumArray1.14	3	128
geo:GPL4999	UCSF Cancer Center HumArray2.0	3	129
geo:GPL6359	UCSF Cancer Center HumArray3.2	3	130
geo:GPL4242	UCSF Homo sapiens 2.5K	3	131
geo:GPL7298	UCSF Homo sapiens CGH 8p11q	3	132
geo:GPL3789	UCSF HUMAN 1.14	3	133
geo:GPL3868	UCSF HUMAN 1.14 v2	3	134
geo:GPL3869	UCSF HUMAN 1.14 v3	3	135
geo:GPL3993	UCSF HUMAN 1.14 v4	3	136
geo:GPL2024	UCSF_HumArray	3	137
geo:GPL3632	UCSF_HumArray	3	138
geo:GPL13244	UCSF_PARK_Human BAC Array3.2Kuf	3	139
geo:GPL4896	UCSF-CCC Homo sapiens 2.5K HumArray2.0 (2464 BAC clones each printed in triplicate)	3	140
geo:GPL10093	UHN Human 19K cDNA microarray	3	141
geo:GPL7096	UMCG_6.5KBAC_ARRAY	3	142
geo:GPL7394	UMCG_6KBAC_ARRAY	3	143
geo:GPL13177	University of Cambridge, Dept of Pathology, Centre for Microarray Resources 1 Mb aCGH platform_3584 unique clones	3	144
geo:GPL13176	University of Pennsylvania/Nathanson Lab_HomoSapiens_5212 unique BACS_coleman_collaboration	3	145
geo:GPL5338	University of Pennsylvania/Nathanson Lab_HomoSapiens_ChromosomeRegion_Virtual	3	146
geo:GPL5672	UPenn Homo sapiens 6K BAC array (1MB interval spacing)	3	147
geo:GPL3441	VUMC MACF human 5K BAC v12	3	148
geo:GPL3442	VUMC MACF human 5K BAC v16	3	149
geo:GPL3443	VUMC MACF human 5K BAC v21	3	150
geo:GPL2842	VUMC MACF human 5K BAC v22	3	151
geo:GPL2843	VUMC MACF human 6K BAC v45	3	152
EFO:0010939	oligonucleotide DNA microarray	2	153
geo:GPL21558	[OncoScan_CNV] Affymetrix OncoScan CNV FFPE Assay	3	154
geo:GPL18602	[OncoScan] Affymetrix OncoScan FFPE Assay	3	155
geo:GPL10722	021764 Agilent Human Genotypic Designed CGH 105k Microarray	3	156
geo:GPL9775	85KBGL2V3 ROMA Custom Human Microarray	3	157
geo:GPL9776	85KBGL2V4 ROMA Custom Human Microarray	3	158
geo:GPL8581	85KV4 ROMA Custom Human Microarray (Format 28)	3	159
geo:GPL2014	Affymetrix GeneChip Human Mapping 50K Hind - prerelease	3	160
geo:GPL2015	Affymetrix GeneChip Human Mapping 50K Xba - prerelease	3	161
geo:GPL8876	Agilent custom 105K array (Agilent-019507)	3	162
geo:GPL13346	Agilent custom 2 x 415K human CGH	3	163
geo:GPL5149	Agilent Homo sapiens 185K array	3	164
arrayexpress:A-MEXP-1134	Agilent Human Genome CGH Microarray 44K 014950 G4426B	3	165
arrayexpress:A-MEXP-1886	Agilent Human Genome CGH Microarray 4x180K	3	166
geo:GPL10383	Agilent MQD Lab Human 60K probes v1.0 - custom oligo array of 2Kb resolutoin covering 7q region	3	167
geo:GPL8687	Agilent SurePrint G3 CGH array (4X180K) CCA_VUMC design AMADID#022522	3	168
arrayexpress:A-MEXP-1981	Agilent SurePrint G3 Human CGH Microarray 1x1M 021529	3	169
geo:GPL8355	Agilent-012700 Human Genome CGH Microarray 44A G4410A_beta (Feature Number version)	3	170
geo:GPL2873	Agilent-012750 Human Genome CGH Microarray 44A (Feature number version)	3	171
